,predict_original_data
1067,827.0745107971202
1068,827.0481188052523
1069,827.0108837184343
1070,826.9855288934268
1071,827.0112541233065
1072,827.0542789403545
1073,827.1122371770069
1074,827.1732483955717
1075,827.2265076872086
1076,827.2992900894192
1077,827.3410611069536
1078,827.3982228107241
1079,827.4358843522431
1080,827.4321536015509
1081,827.4527455466603
1082,827.1300691620374
1083,826.7111985447347
1084,826.256692553109
1085,825.7761138163648
1086,825.3244956483542
1087,824.7822424912633
1088,824.2184881441204
1089,823.7915793123053
1090,823.709147178212
1091,823.584185637474
1092,823.4950274947139
1093,823.4467172992913
1094,823.3714334667599
1095,823.4719238623537
1096,823.5694312224292
1097,823.5697724845451
1098,823.5401150344421
1099,823.5708133273282
1100,823.5151580188236
1101,823.4603260395224
1102,823.37254798516
1103,823.0976513355702
1104,822.896308356354
1105,822.7854710053335
1106,822.7218617635684
1107,822.702298587144
1108,822.7163702834953
1109,822.7582722959811
1110,822.9123020497311
1111,823.0756391941653
1112,823.1141226998583
1113,823.208082587452
1114,823.2333358786234
1115,823.4030968982242
1116,823.541839565626
1117,823.6615008593801
1118,823.8068138154397
1119,824.0149784775273
1120,824.2883443070682
1121,824.4963844585701
1122,824.6255243630818
1123,824.6341664745376
1124,824.6186259179146
1125,824.6956882315292
1126,824.6950072709423
1127,824.7287664556392
1128,824.7614375957287
1129,824.7457004291042
1130,824.7281644497457
1131,824.7837021494287
1132,824.9104864066023
1133,824.9873532857769
1134,825.1049134662267
1135,825.0714554633404
1136,825.1507765828212
1137,825.1696383902427
1138,825.231956497504
1139,825.2354276704818
1140,825.2914095255551
1141,825.3408611462951
1142,825.3550868926533
1143,825.3400633007295
1144,825.4014576769957
1145,825.4678605290745
1146,825.5087122921851
1147,825.5216024661481
1148,825.4860456920134
1149,825.5039870662292
1150,825.4037785002625
1151,825.249781578225
1152,825.1566412000517
1153,825.1013879552937
1154,825.0456526185292
1155,824.9904262509823
1156,824.9667768366718
1157,824.9609221586195
1158,825.0739840096699
1159,825.0971446976102
1160,825.1585372031188
1161,825.1426508411638
1162,825.1576538692576
1163,825.189074742645
1164,825.1992740197354
1165,825.2259143120301
1166,825.1782175020826
1167,825.1855753265517
1168,825.1488820720313
1169,825.1538297429416
1170,825.0558666193588
1171,824.9506882433008
1172,824.9528283648588
1173,824.922860765987
1174,824.9234858538697
1175,824.9787524541935
1176,825.0693903280177
1177,825.1696029121968
1178,825.3876722968505
1179,825.5982260958694
1180,825.6279061638138
1181,825.75397677978
1182,825.8163492522491
1183,825.8403086962423
1184,825.8442370943942
1185,825.8379712620775
1186,825.7007065978802
1187,825.7159406893147
1188,825.7711401462525
1189,825.7479420279069
1190,825.8062510717787
1191,825.8664665176707
1192,825.8673121144383
1193,825.8482183791438
1194,825.9198065660496
1195,825.9591895493016
1196,825.9819905892467
1197,825.9967854763931
1198,826.0213220725425
1199,826.0554154905889
1200,826.1567117186157
1201,826.2222403072635
1202,826.2834770350793
1203,826.381569728418
1204,826.4622454597038
1205,826.5337622211237
1206,826.5388633517905
1207,826.5450034823641
1208,826.6417122777069
1209,826.7397677278517
1210,826.71593733035
1211,826.8017279889482
1212,826.84849051268
1213,827.0205890953712
1214,827.1416928447763
1215,827.2223009712351
1216,827.2541726937633
1217,827.2198932757286
1218,827.143179910568
1219,827.0526079008073
1220,826.9420847412946
1221,826.8356230710731
1222,826.7585938799361
1223,826.5911316408893
1224,826.6539172288458
1225,826.8508799977621
1226,827.0407516961436
1227,827.2791452808345
1228,827.5396969102951
1229,827.7768501713017
1230,828.1213327734914
1231,828.4351345069305
1232,828.4690193485137
1233,828.4916407693889
1234,828.4946647932426
1235,828.571387066383
1236,828.6258192290309
1237,828.6216028187658
1238,828.6191025535811
1239,828.7074954820968
1240,828.9460475884152
1241,829.1073961415864
1242,829.2266931600045
1243,829.2648393060472
1244,829.3772119043263
1245,829.451731666519
1246,829.532849688045
1247,829.5785951459918
1248,829.4894522672648
1249,829.4396813634294
1250,829.4379169255105
1251,829.4563747331848
1252,829.4125440620522
1253,829.3410994166438
1254,829.2540711740962
1255,829.2371465736568
1256,829.2235364320932
1257,829.27620879224
1258,829.2574686156131
1259,829.2555654844417
1260,829.3215012025126
1261,829.2354071602764
1262,829.3535303391724
1263,829.3663435257062
1264,829.3518177915879
1265,829.3423975018259
1266,829.386635296325
1267,829.4575883063299
1268,829.4427429209405
1269,829.3573801577883
1270,829.3256305685345
1271,829.1423150094472
1272,829.0732096556396
1273,828.993544761584
1274,828.8858857591866
1275,828.7623042867053
1276,828.7649876499815
1277,828.7121565954386
1278,828.7269752983835
1279,828.6916933420878
1280,828.751829463272
1281,828.8133798251769
1282,828.906911491164
1283,828.9293988353118
1284,828.9497017715059
1285,828.9877772123034
1286,828.9674000309061
1287,829.0794799437268
1288,829.1408264624745
1289,829.191269972632
1290,829.2358993126143
1291,829.3463800868014
1292,829.3282527925231
1293,829.414248206464
1294,829.5288977164763
1295,829.4801356410826
1296,829.4739646630379
1297,829.3825542969078
1298,829.3385006809531
1299,829.2702185882298
1300,829.2128879619838
1301,829.2164536161633
1302,829.1907381974456
1303,829.1544093370917
1304,829.0562349202967
1305,829.0644879533814
1306,829.1266117529639
1307,829.2352261783969
1308,829.2175700883281
1309,829.1557017798191
1310,829.1125617925893
1311,829.1432344601261
1312,829.135508384787
1313,829.0902288958763
